case_id,cell_id,world_seed,scenario,status,inclusion_status,receipt_sha256,policy_compliance,transaction_correctness,coordination,system_utility
refund_v2.1n.missing_evidence.000002,cell_f0c84e622d147aad45ab,2,missing_evidence,ok,included,dcef2e2734aa9cbc6ac8f3afaceb65bb7189b7f5fd30dd42a3984d9f6130dcaa,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000004,cell_495173a7268c043797d6,4,missing_evidence,ok,included,eef5ce2c17ced979e818825a64ac01d0edf5d76f49e30c358d28fc29323f5696,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000005,cell_bacc4ed1370f3a5968a5,5,missing_evidence,ok,included,059098f000ceee7d96e1bb7a644bb8eaba5007b71235e5d13aa2bb28313f2079,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000007,cell_60705579becc97ca0f7d,7,missing_evidence,ok,included,6cf2ac105efeccd30a69890296210a74137f91b0dba3ddee252ccc6985f97571,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000008,cell_5ef66e8c7b86f6acccf8,8,missing_evidence,ok,included,e4495a021581b129577ebf4b57b465c0dcc0f96ff5824bd9792c33f291fe5070,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000009,cell_9c946a215671f202e8e5,9,missing_evidence,ok,included,7a5f1a6f61e7b9433dd092e89903dd216564c53fb242bb7ddb269c8753fb86c3,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000010,cell_a03c1e2744414230fc26,10,missing_evidence,ok,included,2ba1258188814c46aa1f49375b557ee8a0926e936051d62f80618dec700d7ac6,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000013,cell_70c16860c7419f98c85c,13,missing_evidence,ok,included,3bc4af5cfdf6a09abed042ec324a74794ef494a08be2015b9f2a358e1eca5bfb,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000014,cell_121fe6703fb9a7cce942,14,missing_evidence,ok,included,f97a20a6493e7e000a52cfa766741a89935ae08967599fd268ead9e6dfc439a8,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000015,cell_3ec8f83223b9d09a6a6d,15,missing_evidence,ok,included,a3e49a80af4b439afab84c90cfe077e6d501ba73834e417f9e65f7d78f4f1e58,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000016,cell_32f99ba7de0b4d1d3593,16,missing_evidence,ok,included,12730468cf0620f94f908c22156fa1c4d10f0b68aae6f43e4b1e1e83c0445244,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000017,cell_cf6f7bd1d0922fde250f,17,missing_evidence,ok,included,1ad6c391ac730f512359a79fecc14084bbcb3a17ccd490220665821d765259a5,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000019,cell_f01302b57925472a3a42,19,missing_evidence,ok,included,1cd399b79ff6240f4d9e5c7e15e81f2079bdb3f766688ca961f9dcf292d8dfbc,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000020,cell_4ab0cdc2385b470070ee,20,missing_evidence,ok,included,d471ed0406247a71cd21c3b320160beed2e31f09690f729b3e681001cfb7aee6,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000023,cell_ec914a7a115fd1da8261,23,missing_evidence,ok,included,65c72232a53b8bf5763540c4dc8348abbfdbb04fad435bc1f7bea4c80ff2981a,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000024,cell_8c3554f5f2b2c73d23ea,24,missing_evidence,ok,included,c06420abc6df87c4d180def69e2b107ae176744d96d9cfbfc14311d27fe6d33d,0.0,1.0,0.0,-10.0
refund_v2.1n.missing_evidence.000027,cell_027ebc9c9bf0badd939b,27,missing_evidence,ok,included,c09bb5c039a2dc6cde0a68a8286583f0b37f04945fb558f750bfed8dbb2f5451,1.0,1.0,1.0,-2.0
refund_v2.1n.missing_evidence.000028,cell_4c559490825b1a59077f,28,missing_evidence,ok,included,a3e32c828f826611655074fa52d4b10319a9efe0f47e52b8848796e2d4b14840,0.0,1.0,0.0,-10.0
refund_v2.1n.partial_software.000000,cell_4fae6b332965082d137d,0,partial_software,ok,included,3469b719a35c5c4e85f0be2fcbcc8c08dea572b88c0fa8d7a82aeed3f57e1243,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000001,cell_7feb1958c049a63f90bb,1,partial_software,ok,included,01cee17a07e30a142c1d3b1266d2cfb7bbc126d6536ca870d777287c34bc69af,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000002,cell_bf0d816181bc5db90664,2,partial_software,ok,included,af784ed99b171a334faf8c416d6bd18944d885bcba8cfc054b874d312b5a4e28,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000004,cell_64d6c0201e070daf212f,4,partial_software,ok,included,a63cd7782e0a3175b5acfe2e9bdee9aaab0bf562f179207bdc1ba99183826820,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000005,cell_6b5f22737f742e66845d,5,partial_software,ok,included,11435710df32f7b65c6c6d83d3599c560a32b396dbc5a233525c6f4c208e3210,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000007,cell_405d43b0f65458fc53fd,7,partial_software,ok,included,f47a56a0c3b80e60028c4d6e8712b5cc5d332dcb8fe91ebbf53fc8889b077dad,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000008,cell_84e617d1085e657974f9,8,partial_software,ok,included,685567128e5b4bfeaab54e460a30b3d1af5febaead6a68d39c20709bebd1b7dc,0.0,0.0,0.0,-10.0
refund_v2.1n.partial_software.000009,cell_12aadfacf1b40ef41346,9,partial_software,ok,included,6394f3f2df1e308010f3b3dda481bcb51d970c85fca7caf68489244ecadf4bcd,0.0,0.0,0.0,-10.0
refund_v2.1n.partial_software.000010,cell_fdbf50fde11367762671,10,partial_software,ok,included,cf16ff899f8e7ab398ccd9c28030432345daeffe3ded2a2e854652c56b2724df,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000013,cell_7bb2068a78af8c32d206,13,partial_software,ok,included,063b20985c2bccdedc6d8c43c2fa62d6d3b110f893d0c12c30ea4b70df454367,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000014,cell_2e3f4cbe510256aacd95,14,partial_software,ok,included,d08cd2e26eb73a8859fcb0db8d00276c2c5a917ed104f5923de9facfe79ed8c3,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000015,cell_e6bbf5c27288964741fe,15,partial_software,ok,included,f1d69d79a2dd3768742dd8bc8e4dabaaf6218d47a3c7a1fdb72fb7a7360f7692,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000016,cell_4006bd67fb0bbb5e344e,16,partial_software,ok,included,fb11d07692287ef043697d159ed4e30661a55d5a71d2531687c89d5c4d628b56,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000017,cell_bcc933ebc6242cdf1ad9,17,partial_software,ok,included,51dd3ec8982c487ddbdf0f8b11cf9b54a7103c8638cd867d9bf5a0e9d4c4495c,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000019,cell_65936580e42d082f507f,19,partial_software,ok,included,7206b79f8c2020e75cb9a2a46818ed701937b24d85b149709086f0e769202cd4,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000020,cell_97d50ea81d64cdf6d37b,20,partial_software,ok,included,b1522da665d35f3e23b8500dd52181977f5559229510054bebeaa9b4e9a4c335,0.0,0.0,0.0,-10.0
refund_v2.1n.partial_software.000023,cell_745b38a450102c2bdc07,23,partial_software,ok,included,e9d87474228b8af0ec4115db3de6594add0079a2b77aa8306ede7de9aa36df42,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000024,cell_a2a3d22fb4fb0beb79ad,24,partial_software,ok,included,e66ddaf845ac5f300434d85273d98df5da0013f2d8a0660dc2ade0d607f4e8dd,1.0,1.0,1.0,2.0
refund_v2.1n.partial_software.000027,cell_b7afda08258a19e28fa6,27,partial_software,ok,included,95b7ee115f9cf309bc5f1fc735d52b5909c73de98dcc9a9cf5b02a78c16d583b,0.0,0.0,0.0,-10.0
refund_v2.1n.partial_software.000028,cell_dccceb4df8df3794e235,28,partial_software,ok,included,2043978b75288352c81a792d5a4415709216d36f6a6555eefdde3d62ede87351,0.0,0.0,0.0,-10.0
