campaign_id,landlord_model,world_seed,completed_cells,signed_leases,zero_rent_leases,ir_violations,cells_with_ir_violation,source_artifact,source_artifact_sha256
housing_confirmatory_parasail_v2,glm_53_flash,1307871977,12,58,11,11,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1419988216,12,53,10,11,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1502627411,12,51,10,13,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1628619353,12,57,8,8,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1640977697,12,52,7,7,7,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1665492486,12,53,15,16,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1737316725,11,51,8,9,5,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1746020508,12,57,8,13,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,1907374266,12,55,12,12,9,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,2085097730,12,48,6,7,6,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_confirmatory_parasail_v2,glm_53_flash,2115856512,12,52,6,6,4,evidence/housing_confirmatory_parasail_v2/trajectories/attempted.json,da01cba93ade6d403e8c860414c1ee17675c9699c21b4b1816465c842084866b
housing_model_sensitivity_openrouter_alt_v8,deepseek_v4_flash,1971418798,6,20,0,0,0,evidence/housing_model_sensitivity_openrouter_alt_v8/trajectories/attempted.json,6f6a741030249173d3d96f6f149c57f72d1259f59c2e53daa256ed9285c79de1
housing_model_sensitivity_openrouter_alt_v8,glm_53_flash,1971418798,5,18,0,0,0,evidence/housing_model_sensitivity_openrouter_alt_v8/trajectories/attempted.json,6f6a741030249173d3d96f6f149c57f72d1259f59c2e53daa256ed9285c79de1
housing_model_sensitivity_openrouter_friendli_v13,deepseek_v4_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_friendli_v13/trajectories/attempted.json,832f2b1663cde9c2c02f187ebe62d6d4ae5705d9fddc1d4cefe112af5a83d992
housing_model_sensitivity_openrouter_friendli_v13,glm_53_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_friendli_v13/trajectories/attempted.json,832f2b1663cde9c2c02f187ebe62d6d4ae5705d9fddc1d4cefe112af5a83d992
housing_model_sensitivity_openrouter_friendli_v15,deepseek_v4_flash,264284765,5,15,0,0,0,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,deepseek_v4_flash,366965770,6,19,0,1,1,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,deepseek_v4_flash,722524881,6,19,0,1,1,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,deepseek_v4_flash,1535604354,6,18,0,0,0,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,glm_53_flash,264284765,5,13,4,4,3,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,glm_53_flash,366965770,5,15,3,3,2,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,glm_53_flash,722524881,5,13,1,1,1,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_friendli_v15,glm_53_flash,1535604354,5,15,4,4,3,evidence/housing_model_sensitivity_openrouter_friendli_v15/trajectories/attempted.json,3665f9c97d991c689ec1afe8a3b167ca2b073ad423850a979af2e42b8113c8a9
housing_model_sensitivity_openrouter_morph_v10,deepseek_v4_flash,123194022,6,17,0,1,1,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,deepseek_v4_flash,145537168,4,11,0,0,0,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,deepseek_v4_flash,981417412,3,10,0,0,0,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,deepseek_v4_flash,1460378342,6,18,0,0,0,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,glm_53_flash,123194022,5,14,0,1,1,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,glm_53_flash,145537168,3,8,0,0,0,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_morph_v10,glm_53_flash,1460378342,4,14,0,0,0,evidence/housing_model_sensitivity_openrouter_morph_v10/trajectories/attempted.json,cead56e4fe21d6b1d64cdf17925367e3cb92a1981139b9b3f0a9c79efb23ce6f
housing_model_sensitivity_openrouter_parasail_v16,deepseek_v4_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v16/trajectories/attempted.json,d59d2504e418af0451304c3e364be692e79790eb717e4314c3755d56521f6e91
housing_model_sensitivity_openrouter_parasail_v16,glm_53_flash,227922569,2,4,1,1,1,evidence/housing_model_sensitivity_openrouter_parasail_v16/trajectories/attempted.json,d59d2504e418af0451304c3e364be692e79790eb717e4314c3755d56521f6e91
housing_model_sensitivity_openrouter_parasail_v18,deepseek_v4_flash,227922569,2,3,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v18/trajectories/attempted.json,c0ef79322ddf60035ffb4d2a8dbd7cb207f836be99431a6c8a4a86a2a03af9da
housing_model_sensitivity_openrouter_parasail_v18,glm_53_flash,227922569,2,4,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v18/trajectories/attempted.json,c0ef79322ddf60035ffb4d2a8dbd7cb207f836be99431a6c8a4a86a2a03af9da
housing_model_sensitivity_openrouter_parasail_v19,deepseek_v4_flash,237549679,3,8,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,deepseek_v4_flash,647986875,6,20,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,deepseek_v4_flash,1515521562,3,9,0,2,1,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,deepseek_v4_flash,1758927083,6,16,0,0,0,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,glm_53_flash,237549679,1,3,1,1,1,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,glm_53_flash,647986875,6,20,4,4,3,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
housing_model_sensitivity_openrouter_parasail_v19,glm_53_flash,1515521562,1,3,1,1,1,evidence/housing_model_sensitivity_openrouter_parasail_v19/trajectories/attempted.json,3960007ed5366162299986559d10b7ae532631af5d2659bfe83e06267b35159d
